# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
131.6937942, 6.41880927, 0.9999999512173228, 0.8988080827734309, 0.8242787380434121, 11.168632477805613, 3.38, 0.685, 24.13
133.76178383, -60.64460928, 0.5617474038568959, 0.6559819426367238, 1.0, 7.311390834834176, 3.84, -0.104, 10.45
133.84844309, 5.94556331, 1.0, 0.8166101110905332, 0.6230587596065708, 14.321878992735439, 3.11, 0.978, 21.64
134.80189116, 48.04182647, 0.7741153464255771, 0.8107555862137503, 0.9999999988095338, 14.190575216890918, 3.12, 0.223, 68.32
135.15987807, 41.782911, 0.9791705349912283, 0.9474643259746236, 1.0, 6.546361740672751, 3.96, 0.463, 60.86
135.61164961, -66.39607654, 0.7168424019945149, 0.7711787366696204, 0.9999999999749649, 6.309573444801933, 4.0, 0.145, 26.24
135.90636137, 47.15652471, 0.6259555015725233, 0.7046002818916838, 1.0, 9.375620069258805, 3.57, 0.007, 7.71
136.03866845, -47.09773702, 1.0, 0.7653164281238356, 0.5171217645483489, 7.943282347242816, 3.75, 1.174, 10.55
136.99899358, -43.43258935, 0.9999999999999998, 0.6539595594247725, 0.32562674304193817, 32.210687912834345, 2.23, 1.665, 5.69
137.74202204, -58.96689577, 0.55, 0.647, 1.0, 10.665961212302578, 3.43, -0.19, 7.79
137.81966709, -62.31697715, 0.55, 0.647, 1.0, 6.546361740672751, 3.96, -0.18, 6.53
138.29989786, -69.71720773, 0.6662204268170715, 0.7344809097114419, 1.0, 53.95106225151276, 1.67, 0.07, 29.34
138.59107912, 2.3142803, 0.5862878779840431, 0.6748000553823671, 1.0, 6.982324040771713, 3.89, -0.06, 25.34
139.27252781, -59.27522929, 0.7484216103157498, 0.7938148363512625, 0.9999999991753189, 32.809529311311906, 2.21, 0.189, 4.71
139.71101495, 36.80259678, 0.6637681649453165, 0.7323998815954074, 1.0, 7.447319739059893, 3.82, 0.066, 26.75
140.26375544, 34.39256184, 0.9999999999999999, 0.6779935752419022, 0.3626976703255895, 13.931568029453029, 3.14, 1.55, 14.69
140.52840967, -55.01066799, 0.55, 0.647, 1.0, 25.82260190634596, 2.47, -0.141, 6.05
141.89684698, -8.65860253, 0.9999999999999999, 0.7020734531593984, 0.4017848178112139, 40.17908108489398, 1.99, 1.44, 18.4
142.67500055, -40.46676938, 0.8948728870701592, 0.8919065286888559, 0.9999980411202976, 9.120108393559097, 3.6, 0.371, 53.89
142.80549519, -57.03437682, 1.0, 0.680632348517388, 0.36688799102843744, 13.677288255958487, 3.16, 1.538, 13.72
142.88211727, 63.06186073, 0.8850494242773772, 0.8855738521338461, 0.9999976852359671, 8.709635899560807, 3.65, 0.36, 43.2
143.21430974, 51.67730022, 0.9902750784747902, 0.9545894902073235, 1.0, 13.551894123510364, 3.17, 0.475, 74.15
144.96400779, -1.14281015, 1.0, 0.7317752548217933, 0.4535887563743598, 6.918309709189366, 3.9, 1.313, 11.83
145.28763669, 9.892308, 1.0, 0.9514552209715902, 0.9709314293927462, 9.817479430199844, 3.52, 0.516, 24.12
146.31171365, -62.50790315, 1.0, 0.8081822975476001, 0.603676757429627, 8.394599865193975, 3.69, 1.01, 2.16
146.46280429, 23.77425466, 0.9999999997430421, 0.8630807714097323, 0.7325940229956407, 16.29296032639722, 2.97, 0.808, 13.01
146.77550679, -65.0720068, 0.8123855400526836, 0.8379004830911688, 1.0, 17.060823890031234, 2.92, 0.273, 2.01
147.74732429, 59.03873553, 0.8272497561695478, 0.8477193963398264, 0.9999998576382941, 7.726805850957025, 3.78, 0.291, 28.35
148.19090535, 26.00695149, 0.9999999999999994, 0.7536504329442072, 0.4937164775580542, 7.046930689671471, 3.88, 1.222, 24.52
149.21559015, -54.56779042, 0.5823038223869861, 0.6715730979689752, 1.0, 9.817479430199844, 3.52, -0.067, 1.69
151.83313456, 16.76266443, 0.6031089161250801, 0.6873938803825439, 1.0, 10.18591388054117, 3.48, -0.031, 1.53
152.0929611, 11.96720706, 0.5714776499544738, 0.6629981850757674, 0.9999999999999999, 71.77942912713615, 1.36, -0.087, 42.09
